Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Consumation,Engine,Power,Seats,Price,Brand,Model,car_age,km/age
Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5,1.75,Maruti,Wagon R LXI CNG,16,4500.0
Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5,Hyundai,Creta 1.6 CRDi SX Option,11,3727.2727272727275
Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5,Honda,Jazz V,15,3066.6666666666665
Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6.0,Maruti,Ertiga VDI,14,6214.285714285715
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74,Audi,A4 New 2.0 TDI Multitronic,13,3128.4615384615386
Hyderabad,2012,75000,LPG,Manual,First,21.1,814,55.2,5,2.35,Hyundai,EON LPG Era Plus Option,14,5357.142857142857
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5,Nissan,Micra Diesel XV,13,6692.2307692307695
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5,Toyota,Innova Crysta 2.8 GX AT 8S,10,3600.0
Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2,Volkswagen,Vento Diesel Comfortline,13,4956.153846153846
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5,1.95,Tata,Indica Vista Quadrajet LS,14,4709.428571428572
Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95,Maruti,Ciaz Zeta,8,3211.5
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49,Honda,City 1.5 V AT Sunroof,14,4285.714285714285
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5,5.6,Maruti,Swift VDI BSIV,11,5856.727272727273
Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27.0,Land,Rover Range Rover 2.2L Pure,12,6000.0
Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,115.0,5,17.5,Land,Rover Freelander 2 TD4 SE,14,6071.428571428572
Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15.0,Mitsubishi,Pajero Sport 4X4,12,9166.666666666666
Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4,Honda,Amaze S i-Dtech,10,5895.0
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5,5.99,Maruti,Swift DDiS VDI,9,2777.777777777778
Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34,Renault,Duster 85PS Diesel RxL Plus,12,6455.75
