Location,Year,Fuel_Type,Transmission,Owner_Type,Consumation,Engine,Seats,Price,Brand,Model
Mumbai,2010,CNG,Manual,First,26.6,998,5,1.75,Maruti,Wagon R LXI CNG
Pune,2015,Diesel,Manual,First,19.67,1582,5,12.5,Hyundai,Creta 1.6 CRDi SX Option
Chennai,2011,Petrol,Manual,First,18.2,1199,5,4.5,Honda,Jazz V
Chennai,2012,Diesel,Manual,First,20.77,1248,7,6.0,Maruti,Ertiga VDI
Coimbatore,2013,Diesel,Automatic,Second,15.2,1968,5,17.74,Audi,A4 New 2.0 TDI Multitronic
Hyderabad,2012,LPG,Manual,First,21.1,814,5,2.35,Hyundai,EON LPG Era Plus Option
Jaipur,2013,Diesel,Manual,First,23.08,1461,5,3.5,Nissan,Micra Diesel XV
Mumbai,2016,Diesel,Automatic,First,11.36,2755,8,17.5,Toyota,Innova Crysta 2.8 GX AT 8S
Pune,2013,Diesel,Manual,First,20.54,1598,5,5.2,Volkswagen,Vento Diesel Comfortline
Chennai,2012,Diesel,Manual,Second,22.3,1248,5,1.95,Tata,Indica Vista Quadrajet LS
Kochi,2018,Petrol,Manual,First,21.56,1462,5,9.95,Maruti,Ciaz Zeta
Kolkata,2012,Petrol,Automatic,First,16.8,1497,5,4.49,Honda,City 1.5 V AT Sunroof
Jaipur,2015,Diesel,Manual,First,25.2,1248,5,5.6,Maruti,Swift VDI BSIV
Delhi,2014,Diesel,Automatic,First,12.7,2179,5,27.0,Land,Rover Range Rover 2.2L Pure
Pune,2012,Diesel,Automatic,Second,0.0,2179,5,17.5,Land,Rover Freelander 2 TD4 SE
Delhi,2014,Diesel,Manual,First,13.5,2477,7,15.0,Mitsubishi,Pajero Sport 4X4
Kochi,2016,Diesel,Manual,First,25.8,1498,5,5.4,Honda,Amaze S i-Dtech
Jaipur,2017,Diesel,Manual,First,28.4,1248,5,5.99,Maruti,Swift DDiS VDI
Kochi,2014,Diesel,Manual,First,20.45,1461,5,6.34,Renault,Duster 85PS Diesel RxL Plus
Bangalore,2014,Diesel,Automatic,First,14.84,2143,5,28.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare
Kochi,2014,Diesel,Automatic,First,22.69,1995,5,18.55,BMW,3 Series 320d
Bangalore,2015,Diesel,Manual,Second,23.65,1248,5,8.25,Maruti,S Cross DDiS 200 Alpha
Mumbai,2015,Petrol,Automatic,First,13.53,1984,5,23.5,Audi,A6 2011-2015 35 TFSI Technology
Kolkata,2010,Petrol,Manual,First,18.5,1197,5,1.87,Hyundai,i20 1.2 Magna
Kolkata,2010,Petrol,Automatic,First,14.4,1598,5,2.85,Volkswagen,Vento Petrol Highline AT
Mumbai,2012,Petrol,Manual,First,16.8,1497,5,4.25,Honda,City Corporate Edition
Hyderabad,2012,Diesel,Manual,First,23.08,1461,5,4.25,Nissan,Micra Diesel XV
Hyderabad,2013,Petrol,Manual,Second,20.92,998,5,2.75,Maruti,Alto K10 2010-2014 VXI
Kochi,2018,Petrol,Manual,First,17.5,1199,5,9.9,Honda,WRV i-VTEC VX
Mumbai,2007,Diesel,Manual,Fourth & Above,12.8,2494,7,4.0,Toyota,Innova 2.5 V Diesel 7-seater
Bangalore,2013,Diesel,Manual,First,19.01,1461,5,7.75,Renault,Duster 110PS Diesel RxZ Pack
Delhi,2012,Petrol,Manual,First,14.53,1798,5,6.75,Toyota,Corolla Altis G
Bangalore,2013,Diesel,Automatic,Second,11.18,2696,7,12.5,Mahindra,Ssangyong Rexton RX7
Kolkata,2010,Diesel,Automatic,First,12.4,2698,5,11.5,Audi,A6 2.7 TDI
Coimbatore,2014,Petrol,Manual,Second,16.09,1598,5,6.98,Volkswagen,Vento 1.6 Highline
Jaipur,2009,Petrol,Manual,Second,14.0,1061,5,1.85,Maruti,Wagon R LXI BSIII
Kochi,2018,Diesel,Manual,First,24.3,1248,5,8.63,Maruti,Vitara Brezza ZDi Plus
Delhi,2017,Petrol,Manual,First,18.15,1198,5,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW
Pune,2013,Diesel,Automatic,First,11.74,2987,5,28.0,Mercedes-Benz,M-Class ML 350 CDI
Chennai,2013,Diesel,Manual,First,22.07,1199,5,5.0,Volkswagen,Polo Diesel Trendline 1.2L
Delhi,2008,Petrol,Manual,Second,19.7,796,5,1.25,Maruti,Alto LXi
Kochi,2014,Petrol,Manual,First,25.4,624,4,1.53,Tata,Nano LX SE
Coimbatore,2017,Diesel,Manual,First,25.32,1198,6,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone
Kochi,2014,Petrol,Manual,First,18.5,1197,5,4.74,Hyundai,i20 Magna Optional 1.2
Bangalore,2014,Petrol,Automatic,First,14.62,1999,5,8.85,Hyundai,Elantra 2.0 SX Option AT
Mumbai,2016,Petrol,Automatic,First,14.28,1798,5,10.11,Toyota,Corolla Altis G AT
Ahmedabad,2008,Diesel,Manual,Second,14.9,1991,5,4.25,Hyundai,Elantra CRDi
Bangalore,2012,Petrol,Manual,First,11.25,2694,7,10.95,Toyota,Innova Crysta 2.7 GX MT
Jaipur,2014,Diesel,Manual,First,24.4,1120,5,3.85,Hyundai,Xcent 1.1 CRDi S
Jaipur,2012,Diesel,Manual,Second,16.55,2498,6,5.5,Mahindra,Thar CRDe AC
Kochi,2015,Diesel,Automatic,First,17.11,1968,5,21.43,Audi,A4 2.0 TDI 177 Bhp Premium Plus
Delhi,2014,Diesel,Manual,First,22.9,1248,5,4.25,Maruti,Swift LDI
Kolkata,2014,Diesel,Manual,First,17.8,1248,5,3.3,Maruti,Swift Ldi BSIV
Delhi,2013,Diesel,Manual,First,28.4,1248,5,3.85,Maruti,Swift VDI
Chennai,2015,Petrol,Manual,Third,18.9,1197,5,3.6,Hyundai,Grand i10 Sportz
Kolkata,2015,Petrol,Manual,First,15.04,1598,5,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline
Kochi,2017,Petrol,Manual,First,25.17,799,5,3.3,Renault,KWID RXT
