Location,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,KM_bin_encoded,Engine-bins,Power_bins,Power_to_Engine_Ratio,Performance_Index,Economy_Index
Mumbai,CNG,Manual,First,26.6,5,1.75,Maruti,Wagon R LXI CNG,1,0,0,0.058276553047819084,58.043679999999995,13.313313313313316
Pune,Diesel,Manual,First,19.67,5,12.5,Hyundai,Creta 1.6 CRDi SX Option,0,2,1,0.07977243989900604,199.64839999999998,7.618125484120838
Chennai,Petrol,Manual,First,18.2,5,4.5,Honda,Jazz V,0,1,1,0.07397831520101891,106.35130000000001,8.27648931332424
Chennai,Diesel,Manual,First,20.77,7,6.0,Maruti,Ertiga VDI,1,1,1,0.07112179481480625,110.77248000000002,9.239323843416368
Coimbatore,Diesel,Automatic,Second,15.2,5,17.74,Audi,A4 New 2.0 TDI Multitronic,0,3,2,0.07154471541080046,277.0944,5.121293800539084
Hyderabad,LPG,Manual,First,21.1,5,2.35,Hyundai,EON LPG Era Plus Option,1,0,0,0.06781326772995913,44.9328,11.631753031973538
Jaipur,Diesel,Manual,First,23.08,5,3.5,Nissan,Micra Diesel XV,1,2,0,0.04318959613744723,92.18910000000001,9.378301503453878
Mumbai,Diesel,Automatic,First,11.36,8,17.5,Toyota,Innova Crysta 2.8 GX AT 8S,0,5,2,0.062250453697912725,472.4825,3.025299600532623
Pune,Diesel,Manual,First,20.54,5,5.2,Volkswagen,Vento Diesel Comfortline,1,2,1,0.064831038757928,165.5528,7.906081601231716
Chennai,Diesel,Manual,Second,22.3,5,1.95,Tata,Indica Vista Quadrajet LS,1,1,0,0.059294871747359874,92.352,9.919928825622776
Kochi,Petrol,Manual,First,21.56,5,9.95,Maruti,Ciaz Zeta,0,2,1,0.07062243497221447,150.9515,8.75710804224208
Kolkata,Petrol,Automatic,First,16.8,5,4.49,Honda,City 1.5 V AT Sunroof,1,2,1,0.07768871070294675,174.1011,6.728073688426112
Jaipur,Diesel,Manual,First,25.2,5,5.6,Maruti,Swift VDI BSIV,1,1,0,0.059294871747359874,92.352,11.209964412811386
Delhi,Diesel,Automatic,First,12.7,5,27.0,Land,Rover Range Rover 2.2L Pure,1,3,3,0.08614043135101403,408.9983,3.994966970745517
Delhi,Diesel,Manual,First,13.5,7,15.0,Mitsubishi,Pajero Sport 4X4,2,4,3,0.07087605972108355,434.86212,3.8826574633304576
Kochi,Diesel,Manual,First,25.8,5,5.4,Honda,Amaze S i-Dtech,1,2,1,0.06582109474911808,147.7028,10.32826261008807
Jaipur,Diesel,Manual,First,28.4,5,5.99,Maruti,Swift DDiS VDI,0,1,0,0.059294871747359874,92.352,12.633451957295371
Kochi,Diesel,Manual,First,20.45,5,6.34,Renault,Duster 85PS Diesel RxL Plus,1,2,1,0.057357973951158124,122.43180000000001,8.309630231613164
Bangalore,Diesel,Automatic,First,14.84,5,28.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,1,3,2,0.0782174521333563,359.20966000000004,4.721603563474388
Kochi,Diesel,Automatic,First,22.69,5,18.55,BMW,3 Series 320d,0,3,3,0.09523809519035684,379.05,7.5759599332220375
Bangalore,Diesel,Manual,Second,23.65,5,8.25,Maruti,S Cross DDiS 200 Alpha,1,1,1,0.07091346148163985,110.448,10.520462633451956
Mumbai,Petrol,Automatic,First,13.53,5,23.5,Audi,A6 2011-2015 35 TFSI Technology,1,3,3,0.08921874995503086,351.18784,4.5341823056300266
Kolkata,Petrol,Manual,First,18.5,5,1.87,Hyundai,i20 1.2 Magna,0,1,0,0.06683375098844298,95.76,8.420573509330906
