Location,Year,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,car_age,km/age,KM_bin_encoded,Engine-bins,Power_bins,Power_to_Engine_Ratio,Mileage_per_Year,Mileage_Efficiency,Depreciation_Factor,Value_Retention,Performance_Index,Economy_Index
Mumbai,2010,CNG,Manual,First,26.6,5,1.75,Maruti,Wagon R LXI CNG,16,4500.0,1,0,0,0.058276553047819084,4235.294117647059,1.5501563110719878,11.52,0.2191780821917808,58.043679999999995,13.313313313313316
Pune,2015,Diesel,Manual,First,19.67,5,12.5,Hyundai,Creta 1.6 CRDi SX Option,11,3727.272727272728,0,2,1,0.07977243989900604,3416.6666666666665,1.569123892813449,4.51,0.2619047619047619,199.64839999999998,7.618125484120838
Chennai,2011,Petrol,Manual,First,18.2,5,4.5,Honda,Jazz V,15,3066.6666666666665,0,1,1,0.07397831520101891,2875.0,1.3464053366585442,6.9,0.3191489361702128,106.35130000000001,8.27648931332424
Chennai,2012,Diesel,Manual,First,20.77,7,6.0,Maruti,Ertiga VDI,14,6214.285714285715,1,1,1,0.07112179481480625,5800.0,1.4771996783035257,12.18,0.1590909090909091,110.77248000000002,9.239323843416368
Coimbatore,2013,Diesel,Automatic,Second,15.2,5,17.74,Audi,A4 New 2.0 TDI Multitronic,13,3128.4615384615386,0,3,2,0.07154471541080046,2905.0,1.0874796742441668,5.2871,0.3119750419966403,277.0944,5.121293800539084
Hyderabad,2012,LPG,Manual,First,21.1,5,2.35,Hyundai,EON LPG Era Plus Option,14,5357.142857142857,1,0,0,0.06781326772995913,5000.0,1.4308599491021377,10.5,0.18421052631578946,44.9328,11.631753031973538
Jaipur,2013,Diesel,Manual,First,23.08,5,3.5,Nissan,Micra Diesel XV,13,6692.2307692307695,1,2,0,0.04318959613744723,6214.214285714285,0.996815878852282,11.30987,0.14772895146535756,92.18910000000001,9.378301503453878
Mumbai,2016,Diesel,Automatic,First,11.36,8,17.5,Toyota,Innova Crysta 2.8 GX AT 8S,10,3600.0,0,5,2,0.062250453697912725,3272.7272727272725,0.7071651540082885,3.6,0.2702702702702703,472.4825,3.025299600532623
Pune,2013,Diesel,Manual,First,20.54,5,5.2,Volkswagen,Vento Diesel Comfortline,13,4956.153846153846,1,2,1,0.064831038757928,4602.142857142857,1.3316295360878412,8.3759,0.1986856182179428,165.5528,7.906081601231716
Chennai,2012,Diesel,Manual,Second,22.3,5,1.95,Tata,Indica Vista Quadrajet LS,14,4709.428571428572,1,1,0,0.059294871747359874,4395.466666666666,1.3222756399661253,9.23048,0.2091675132970776,92.352,9.919928825622776
Kochi,2018,Petrol,Manual,First,21.56,5,9.95,Maruti,Ciaz Zeta,8,3211.5,0,2,1,0.07062243497221447,2854.6666666666665,1.5226196980009439,2.05536,0.2997152704930316,150.9515,8.75710804224208
Kolkata,2012,Petrol,Automatic,First,16.8,5,4.49,Honda,City 1.5 V AT Sunroof,14,4285.714285714285,1,2,1,0.07768871070294675,4000.0,1.3051703398095054,8.4,0.22950819672131148,174.1011,6.728073688426112
Jaipur,2015,Diesel,Manual,First,25.2,5,5.6,Maruti,Swift VDI BSIV,11,5856.727272727273,1,1,0,0.059294871747359874,5368.666666666667,1.4942307680334688,7.08664,0.1681340180973343,92.352,11.209964412811386
Delhi,2014,Diesel,Automatic,First,12.7,5,27.0,Land,Rover Range Rover 2.2L Pure,12,6000.0,1,3,3,0.08614043135101403,5538.461538461538,1.093983478157878,8.64,0.1643835616438356,408.9983,3.994966970745517
Delhi,2014,Diesel,Manual,First,13.5,7,15.0,Mitsubishi,Pajero Sport 4X4,12,9166.666666666666,2,4,3,0.07087605972108355,8461.538461538461,0.9568268062346279,13.2,0.10810810810810811,434.86212,3.8826574633304576
Kochi,2016,Diesel,Manual,First,25.8,5,5.4,Honda,Amaze S i-Dtech,10,5895.0,1,2,1,0.06582109474911808,5359.090909090909,1.6981842445272468,5.895,0.16680567139282734,147.7028,10.32826261008807
Jaipur,2017,Diesel,Manual,First,28.4,5,5.99,Maruti,Swift DDiS VDI,9,2777.777777777778,0,1,0,0.059294871747359874,2500.0,1.6839743576250203,2.25,0.34615384615384615,92.352,12.633451957295371
