Location,Fuel_Type,Transmission,Owner_Type,Consumation,Seats,Price,Brand,Model,car_age,power/horse
Pune,Diesel,Manual,First,19.67,5,12.5,Hyundai,Creta 1.6 CRDi SX Option,11,7.977243994943111
Chennai,Petrol,Manual,First,18.2,5,4.5,Honda,Jazz V,15,7.397831526271894
Chennai,Diesel,Manual,First,20.77,7,6.0,Maruti,Ertiga VDI,14,7.112179487179487
Coimbatore,Diesel,Automatic,Second,15.2,5,17.74,Audi,A4 New 2.0 TDI Multitronic,13,7.154471544715448
Jaipur,Diesel,Manual,First,23.08,5,3.5,Nissan,Micra Diesel XV,13,4.31895961670089
Mumbai,Diesel,Automatic,First,11.36,8,17.5,Toyota,Innova Crysta 2.8 GX AT 8S,10,6.2250453720508165
Pune,Diesel,Manual,First,20.54,5,5.2,Volkswagen,Vento Diesel Comfortline,13,6.483103879849812
Chennai,Diesel,Manual,Second,22.3,5,1.95,Tata,Indica Vista Quadrajet LS,14,5.929487179487179
Kochi,Petrol,Manual,First,21.56,5,9.95,Maruti,Ciaz Zeta,8,7.062243502051984
Kolkata,Petrol,Automatic,First,16.8,5,4.49,Honda,City 1.5 V AT Sunroof,14,7.768871075484301
Jaipur,Diesel,Manual,First,25.2,5,5.6,Maruti,Swift VDI BSIV,11,5.929487179487179
Delhi,Diesel,Automatic,First,12.7,5,27.0,Land,Rover Range Rover 2.2L Pure,12,8.614043139054612
Pune,Diesel,Automatic,Second,0.0,5,17.5,Land,Rover Freelander 2 TD4 SE,14,5.277650298301973
Delhi,Diesel,Manual,First,13.5,7,15.0,Mitsubishi,Pajero Sport 4X4,12,7.087605974969721
Kochi,Diesel,Manual,First,25.8,5,5.4,Honda,Amaze S i-Dtech,10,6.582109479305741
Jaipur,Diesel,Manual,First,28.4,5,5.99,Maruti,Swift DDiS VDI,9,5.929487179487179
Kochi,Diesel,Manual,First,20.45,5,6.34,Renault,Duster 85PS Diesel RxL Plus,12,5.7357973990417515
Bangalore,Diesel,Automatic,First,14.84,5,28.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,12,7.821745216985534
Kochi,Diesel,Automatic,First,22.69,5,18.55,BMW,3 Series 320d,12,9.523809523809524
Bangalore,Diesel,Manual,Second,23.65,5,8.25,Maruti,S Cross DDiS 200 Alpha,11,7.091346153846153
Mumbai,Petrol,Automatic,First,13.53,5,23.5,Audi,A6 2011-2015 35 TFSI Technology,11,8.921875
Kolkata,Petrol,Manual,First,18.5,5,1.87,Hyundai,i20 1.2 Magna,16,6.683375104427736
Kolkata,Petrol,Automatic,First,14.4,5,2.85,Volkswagen,Vento Petrol Highline AT,16,6.483103879849812
Mumbai,Petrol,Manual,First,16.8,5,4.25,Honda,City Corporate Edition,14,7.768871075484301
Hyderabad,Diesel,Manual,First,23.08,5,4.25,Nissan,Micra Diesel XV,14,4.31895961670089
Hyderabad,Petrol,Manual,Second,20.92,5,2.75,Maruti,Alto K10 2010-2014 VXI,13,6.723446893787574
Kochi,Petrol,Manual,First,17.5,5,9.9,Honda,WRV i-VTEC VX,8,7.397831526271894
Mumbai,Diesel,Manual,Fourth & Above,12.8,7,4.0,Toyota,Innova 2.5 V Diesel 7-seater,19,4.0898155573376105
Bangalore,Diesel,Manual,First,19.01,5,7.75,Renault,Duster 110PS Diesel RxZ Pack,13,7.42299794661191
Delhi,Petrol,Manual,First,14.53,5,6.75,Toyota,Corolla Altis G,14,7.68075639599555
Bangalore,Diesel,Automatic,Second,11.18,7,12.5,Mahindra,Ssangyong Rexton RX7,13,6.824925816023739
Kolkata,Diesel,Automatic,First,12.4,5,11.5,Audi,A6 2.7 TDI,16,6.653076352853966
Coimbatore,Petrol,Manual,Second,16.09,5,6.98,Volkswagen,Vento 1.6 Highline,12,6.476846057571965
Jaipur,Petrol,Manual,Second,14.0,5,1.85,Maruti,Wagon R LXI BSIII,17,6.032045240339302
Kochi,Diesel,Manual,First,24.3,5,8.63,Maruti,Vitara Brezza ZDi Plus,8,7.091346153846153
Delhi,Petrol,Manual,First,18.15,5,4.85,Mahindra,KUV 100 mFALCON G80 K6 5str AW,9,6.844741235392321
Pune,Diesel,Automatic,First,11.74,5,28.0,Mercedes-Benz,M-Class ML 350 CDI,13,8.530297957817208
Chennai,Diesel,Manual,First,22.07,5,5.0,Volkswagen,Polo Diesel Trendline 1.2L,13,6.163469557964971
Delhi,Petrol,Manual,Second,19.7,5,1.25,Maruti,Alto LXi,18,5.816582914572864
Kochi,Petrol,Manual,First,25.4,4,1.53,Tata,Nano LX SE,12,6.009615384615385
Coimbatore,Diesel,Manual,First,25.32,6,5.58,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,9,6.42737896494157
Kochi,Petrol,Manual,First,18.5,5,4.74,Hyundai,i20 Magna Optional 1.2,12,6.925647451963242
Bangalore,Petrol,Automatic,First,14.62,5,8.85,Hyundai,Elantra 2.0 SX Option AT,12,7.499749874937469
Mumbai,Petrol,Automatic,First,14.28,5,10.11,Toyota,Corolla Altis G AT,10,7.676863181312569
Ahmedabad,Diesel,Manual,Second,14.9,5,4.25,Hyundai,Elantra CRDi,18,5.6353591160221
Bangalore,Petrol,Manual,First,11.25,7,10.95,Toyota,Innova Crysta 2.7 GX MT,14,6.0764662212323675
Jaipur,Diesel,Manual,First,24.4,5,3.85,Hyundai,Xcent 1.1 CRDi S,12,6.3392857142857135
Jaipur,Diesel,Manual,Second,16.55,6,5.5,Mahindra,Thar CRDe AC,14,4.2033626901521215
Kochi,Diesel,Automatic,First,17.11,5,21.43,Audi,A4 2.0 TDI 177 Bhp Premium Plus,11,8.858231707317074
Delhi,Diesel,Manual,First,22.9,5,4.25,Maruti,Swift LDI,12,5.929487179487179
Kolkata,Diesel,Manual,First,17.8,5,3.3,Maruti,Swift Ldi BSIV,12,6.009615384615385
Delhi,Diesel,Manual,First,28.4,5,3.85,Maruti,Swift VDI,13,5.929487179487179
Chennai,Petrol,Manual,Third,18.9,5,3.6,Hyundai,Grand i10 Sportz,11,6.8504594820384295
Kolkata,Petrol,Manual,First,15.04,5,3.99,Volkswagen,Vento 2013-2015 1.6 Comfortline,11,6.458072590738423
Kochi,Petrol,Manual,First,25.17,5,3.3,Renault,KWID RXT,9,6.670838548185232
