Location,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Model,Brand,Power_bins
Pune,2015,Diesel,Manual,First,19.67,1582.0,126.2,12.5,Creta 1.6 CRDi SX Option,Hyundai,1
Chennai,2011,Petrol,Manual,First,18.2,1199.0,88.7,4.5,Jazz V,Honda,1
Chennai,2012,Diesel,Manual,First,20.77,1248.0,88.76,6.0,Ertiga VDI,Maruti,1
Coimbatore,2013,Diesel,Automatic,Second,15.2,1968.0,140.8,17.74,A4 New 2.0 TDI Multitronic,Audi,2
Jaipur,2013,Diesel,Manual,First,23.08,1461.0,63.1,3.5,Micra Diesel XV,Nissan,0
Mumbai,2016,Diesel,Automatic,First,11.36,2755.0,171.5,17.5,Innova Crysta 2.8 GX AT 8S,Toyota,2
Pune,2013,Diesel,Manual,First,20.54,1598.0,103.6,5.2,Vento Diesel Comfortline,Volkswagen,1
Chennai,2012,Diesel,Manual,Second,22.3,1248.0,74.0,1.95,Indica Vista Quadrajet LS,Tata,0
Kochi,2018,Petrol,Manual,First,21.56,1462.0,103.25,9.95,Ciaz Zeta,Maruti,1
Kolkata,2012,Petrol,Automatic,First,16.8,1497.0,116.3,4.49,City 1.5 V AT Sunroof,Honda,1
Jaipur,2015,Diesel,Manual,First,25.2,1248.0,74.0,5.6,Swift VDI BSIV,Maruti,0
Delhi,2014,Diesel,Automatic,First,12.7,2179.0,187.7,27.0,Rover Range Rover 2.2L Pure,Land,3
Delhi,2014,Diesel,Manual,First,13.5,2477.0,175.56,15.0,Pajero Sport 4X4,Mitsubishi,3
Kochi,2016,Diesel,Manual,First,25.8,1498.0,98.6,5.4,Amaze S i-Dtech,Honda,1
Jaipur,2017,Diesel,Manual,First,28.4,1248.0,74.0,5.99,Swift DDiS VDI,Maruti,0
Kochi,2014,Diesel,Manual,First,20.45,1461.0,83.8,6.34,Duster 85PS Diesel RxL Plus,Renault,1
Bangalore,2014,Diesel,Automatic,First,14.84,2143.0,167.62,28.0,New C-Class C 220 CDI BE Avantgare,Mercedes-Benz,2
Kochi,2014,Diesel,Automatic,First,22.69,1995.0,190.0,18.55,3 Series 320d,BMW,3
Bangalore,2015,Diesel,Manual,Second,23.65,1248.0,88.5,8.25,S Cross DDiS 200 Alpha,Maruti,1
Mumbai,2015,Petrol,Automatic,First,13.53,1984.0,177.01,23.5,A6 2011-2015 35 TFSI Technology,Audi,3
Kolkata,2010,Petrol,Manual,First,18.5,1197.0,80.0,1.87,i20 1.2 Magna,Hyundai,0
Kolkata,2010,Petrol,Automatic,First,14.4,1598.0,103.6,2.85,Vento Petrol Highline AT,Volkswagen,1
Mumbai,2012,Petrol,Manual,First,16.8,1497.0,116.3,4.25,City Corporate Edition,Honda,1
Hyderabad,2012,Diesel,Manual,First,23.08,1461.0,63.1,4.25,Micra Diesel XV,Nissan,0
Hyderabad,2013,Petrol,Manual,Second,20.92,998.0,67.1,2.75,Alto K10 2010-2014 VXI,Maruti,0
Kochi,2018,Petrol,Manual,First,17.5,1199.0,88.7,9.9,WRV i-VTEC VX,Honda,1
Mumbai,2007,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,4.0,Innova 2.5 V Diesel 7-seater,Toyota,1
Bangalore,2013,Diesel,Manual,First,19.01,1461.0,108.45,7.75,Duster 110PS Diesel RxZ Pack,Renault,1
Delhi,2012,Petrol,Manual,First,14.53,1798.0,138.1,6.75,Corolla Altis G,Toyota,2
Bangalore,2013,Diesel,Automatic,Second,11.18,2696.0,184.0,12.5,Ssangyong Rexton RX7,Mahindra,3
Kolkata,2010,Diesel,Automatic,First,12.4,2698.0,179.5,11.5,A6 2.7 TDI,Audi,3
Coimbatore,2014,Petrol,Manual,Second,16.09,1598.0,103.5,6.98,Vento 1.6 Highline,Volkswagen,1
Jaipur,2009,Petrol,Manual,Second,14.0,1061.0,64.0,1.85,Wagon R LXI BSIII,Maruti,0
Kochi,2018,Diesel,Manual,First,24.3,1248.0,88.5,8.63,Vitara Brezza ZDi Plus,Maruti,1
Delhi,2017,Petrol,Manual,First,18.15,1198.0,82.0,4.85,KUV 100 mFALCON G80 K6 5str AW,Mahindra,1
Pune,2013,Diesel,Automatic,First,11.74,2987.0,254.8,28.0,M-Class ML 350 CDI,Mercedes-Benz,4
Chennai,2013,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Polo Diesel Trendline 1.2L,Volkswagen,0
Delhi,2008,Petrol,Manual,Second,19.7,796.0,46.3,1.25,Alto LXi,Maruti,0
Kochi,2014,Petrol,Manual,First,25.4,624.0,37.5,1.53,Nano LX SE,Tata,0
