Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,Model,Brand
Pune,2015,41000,Diesel,Manual,First,19.67,1582,5,12.5,Creta 1.6 CRDi SX Option,Hyundai
Chennai,2011,46000,Petrol,Manual,First,18.2,1199,5,4.5,Jazz V,Honda
Chennai,2012,87000,Diesel,Manual,First,20.77,1248,7,6.0,Ertiga VDI,Maruti
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,5,17.74,A4 New 2.0 TDI Multitronic,Audi
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,5,3.5,Micra Diesel XV,Nissan
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,8,17.5,Innova Crysta 2.8 GX AT 8S,Toyota
Pune,2013,64430,Diesel,Manual,First,20.54,1598,5,5.2,Vento Diesel Comfortline,Volkswagen
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,5,1.95,Indica Vista Quadrajet LS,Tata
Kochi,2018,25692,Petrol,Manual,First,21.56,1462,5,9.95,Ciaz Zeta,Maruti
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,5,4.49,City 1.5 V AT Sunroof,Honda
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,5,5.6,Swift VDI BSIV,Maruti
Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,5,27.0,Rover Range Rover 2.2L Pure,Land
Delhi,2014,110000,Diesel,Manual,First,13.5,2477,7,15.0,Pajero Sport 4X4,Mitsubishi
Kochi,2016,58950,Diesel,Manual,First,25.8,1498,5,5.4,Amaze S i-Dtech,Honda
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,5,5.99,Swift DDiS VDI,Maruti
Kochi,2014,77469,Diesel,Manual,First,20.45,1461,5,6.34,Duster 85PS Diesel RxL Plus,Renault
Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,5,28.0,New C-Class C 220 CDI BE Avantgare,Mercedes-Benz
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,5,18.55,3 Series 320d,BMW
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,5,8.25,S Cross DDiS 200 Alpha,Maruti
Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,5,23.5,A6 2011-2015 35 TFSI Technology,Audi
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,5,1.87,i20 1.2 Magna,Hyundai
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,5,2.85,Vento Petrol Highline AT,Volkswagen
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,5,4.25,City Corporate Edition,Honda
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,5,4.25,Micra Diesel XV,Nissan
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,5,2.75,Alto K10 2010-2014 VXI,Maruti
Kochi,2018,37430,Petrol,Manual,First,17.5,1199,5,9.9,WRV i-VTEC VX,Honda
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,7,4.0,Innova 2.5 V Diesel 7-seater,Toyota
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,5,7.75,Duster 110PS Diesel RxZ Pack,Renault
Delhi,2012,87615,Petrol,Manual,First,14.53,1798,5,6.75,Corolla Altis G,Toyota
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,7,12.5,Ssangyong Rexton RX7,Mahindra
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,5,11.5,A6 2.7 TDI,Audi
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,5,6.98,Vento 1.6 Highline,Volkswagen
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,5,1.85,Wagon R LXI BSIII,Maruti
Kochi,2018,50075,Diesel,Manual,First,24.3,1248,5,8.63,Vitara Brezza ZDi Plus,Maruti
Delhi,2017,52000,Petrol,Manual,First,18.15,1198,5,4.85,KUV 100 mFALCON G80 K6 5str AW,Mahindra
Pune,2013,85000,Diesel,Automatic,First,11.74,2987,5,28.0,M-Class ML 350 CDI,Mercedes-Benz
Chennai,2013,62000,Diesel,Manual,First,22.07,1199,5,5.0,Polo Diesel Trendline 1.2L,Volkswagen
