Location,Fuel_Type,Transmission,Owner_Type,Consumation,Price,Brand,Model,car_age,Power_bins
Pune,Diesel,Manual,First,19.67,12.5,Hyundai,Creta 1.6 CRDi SX Option,11,1
Chennai,Petrol,Manual,First,18.2,4.5,Honda,Jazz V,15,1
Chennai,Diesel,Manual,First,20.77,6.0,Maruti,Ertiga VDI,14,1
Coimbatore,Diesel,Automatic,Second,15.2,17.74,Audi,A4 New 2.0 TDI Multitronic,13,2
Jaipur,Diesel,Manual,First,23.08,3.5,Nissan,Micra Diesel XV,13,0
Mumbai,Diesel,Automatic,First,11.36,17.5,Toyota,Innova Crysta 2.8 GX AT 8S,10,2
Pune,Diesel,Manual,First,20.54,5.2,Volkswagen,Vento Diesel Comfortline,13,1
Chennai,Diesel,Manual,Second,22.3,1.95,Tata,Indica Vista Quadrajet LS,14,0
Kochi,Petrol,Manual,First,21.56,9.95,Maruti,Ciaz Zeta,8,1
Kolkata,Petrol,Automatic,First,16.8,4.49,Honda,City 1.5 V AT Sunroof,14,1
Jaipur,Diesel,Manual,First,25.2,5.6,Maruti,Swift VDI BSIV,11,0
Delhi,Diesel,Automatic,First,12.7,27.0,Land,Rover Range Rover 2.2L Pure,12,3
Delhi,Diesel,Manual,First,13.5,15.0,Mitsubishi,Pajero Sport 4X4,12,3
Kochi,Diesel,Manual,First,25.8,5.4,Honda,Amaze S i-Dtech,10,1
Jaipur,Diesel,Manual,First,28.4,5.99,Maruti,Swift DDiS VDI,9,0
Kochi,Diesel,Manual,First,20.45,6.34,Renault,Duster 85PS Diesel RxL Plus,12,1
Bangalore,Diesel,Automatic,First,14.84,28.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,12,2
Kochi,Diesel,Automatic,First,22.69,18.55,BMW,3 Series 320d,12,3
Bangalore,Diesel,Manual,Second,23.65,8.25,Maruti,S Cross DDiS 200 Alpha,11,1
Mumbai,Petrol,Automatic,First,13.53,23.5,Audi,A6 2011-2015 35 TFSI Technology,11,3
Kolkata,Petrol,Manual,First,18.5,1.87,Hyundai,i20 1.2 Magna,16,0
